listing_id,host_id,neighbourhood,borough,property_type,room_type,checkin_date,checkout_date,nights_stayed,price_per_night,total_revenue,occupancy_rate,review_score,number_of_reviews,amenities,is_weekend_booking
L0094,Host_050,Harlem,Manhattan,Entire home/apt,Entire home,2023-03-12,2023-03-15,3,471.04,1413.12,0.49,4.8,26,"Pool, WiFi, Washer, Air conditioning, TV, Kitchen, Elevator",Yes
L0095,Host_054,Park Slope,Brooklyn,Entire home/apt,Entire home,2023-07-30,2023-08-05,6,261.12,1566.72,0.8,3.9,114,"TV, Gym, Kitchen, Pool, Elevator, Air conditioning, Washer",Yes
L0096,Host_037,Chelsea,Manhattan,Private room,Private room,2023-05-25,2023-06-07,13,104.0,1352.0,0.65,4.3,42,"Air conditioning, TV, WiFi, Washer",No
L0097,Host_007,Bushwick,Brooklyn,Private room,Private room,2023-03-24,2023-03-29,5,103.68,518.4,0.68,4.3,112,"Heating, Gym, Air conditioning",Yes
L0098,Host_033,Upper East Side,Manhattan,Entire home/apt,Entire home,2023-02-11,2023-02-17,6,398.08,2388.48,0.57,4.0,26,"Air conditioning, Pool, WiFi, Gym, Heating",Yes
L0099,Host_031,Flushing,Queens,Private room,Private room,2023-02-10,2023-02-11,1,57.6,57.6,0.58,4.8,141,"Pool, Elevator, WiFi, Air conditioning, Kitchen, Washer, Gym",Yes
L0100,Host_051,Harlem,Manhattan,Entire home/apt,Entire home,2023-09-13,2023-09-23,10,354.0,3540.0,0.73,4.4,148,"Air conditioning, TV, Heating, WiFi",No
L0101,Host_027,Long Island City,Queens,Entire home/apt,Entire home,2023-07-04,2023-07-06,2,215.0,430.0,0.95,4.3,130,"WiFi, Elevator, Gym, Heating, Pool, Washer, Kitchen",No
L0102,Host_005,Williamsburg,Brooklyn,Entire home/apt,Entire home,2023-12-03,2023-12-14,11,378.88,4167.68,0.5,4.4,86,"WiFi, Washer, TV, Air conditioning",Yes
L0103,Host_044,Flushing,Queens,Private room,Private room,2023-04-04,2023-04-17,13,106.0,1378.0,0.52,4.6,118,"TV, Heating, WiFi",No
L0104,Host_020,Midtown,Manhattan,Entire home/apt,Entire home,2023-05-10,2023-05-11,1,323.0,323.0,0.84,3.8,92,"Washer, TV, WiFi",No
L0105,Host_048,Brooklyn Heights,Brooklyn,Private room,Private room,2023-04-06,2023-04-14,8,94.0,752.0,0.81,4.1,133,"Kitchen, Elevator, WiFi, Heating, TV",No
L0106,Host_007,Lower East Side,Manhattan,Entire home/apt,Entire home,2023-06-01,2023-06-06,5,160.0,800.0,0.68,4.6,43,"Washer, Gym, WiFi, Pool, Air conditioning, Heating",No
L0107,Host_041,Williamsburg,Brooklyn,Entire home/apt,Entire home,2023-12-14,2023-12-17,3,327.0,981.0,0.95,3.7,156,"WiFi, Air conditioning, Pool, Kitchen, Gym, TV",No
L0108,Host_010,Flatbush,Brooklyn,Entire home/apt,Entire home,2023-08-16,2023-08-29,13,350.0,4550.0,0.49,3.7,94,"Washer, TV, Kitchen, WiFi, Pool, Elevator",No
L0109,Host_036,Flatbush,Brooklyn,Entire home/apt,Entire home,2023-05-14,2023-05-26,12,230.4,2764.8,0.68,5.0,74,"Heating, Kitchen, Gym, WiFi, Pool, Elevator",Yes
L0110,Host_052,Jackson Heights,Queens,Shared room,Shared room,2023-02-03,2023-02-12,9,60.16,541.44,0.73,4.8,41,"Washer, Heating, WiFi, Kitchen",Yes
L0111,Host_002,Harlem,Manhattan,Private room,Private room,2023-07-08,2023-07-16,8,147.2,1177.6,0.87,4.3,157,"Kitchen, TV, Heating",Yes
L0112,Host_050,Jackson Heights,Queens,Entire home/apt,Entire home,2023-03-06,2023-03-12,6,329.0,1974.0,0.78,4.2,175,"Washer, Air conditioning, Elevator, TV, Pool, Kitchen, WiFi",No
L0113,Host_004,Flatbush,Brooklyn,Private room,Private room,2023-06-05,2023-06-08,3,111.0,333.0,0.53,4.9,58,"Pool, TV, Elevator, WiFi, Air conditioning",No
L0114,Host_041,Lower East Side,Manhattan,Entire home/apt,Entire home,2023-09-15,2023-09-26,11,352.0,3872.0,0.54,4.9,40,"Washer, WiFi, Elevator, Gym",Yes
L0115,Host_050,Midtown,Manhattan,Shared room,Shared room,2023-10-20,2023-10-27,7,62.72,439.04,0.77,3.5,161,"TV, Pool, Heating, Kitchen, Elevator, Air conditioning, Washer",Yes
L0116,Host_027,Midtown,Manhattan,Entire home/apt,Entire home,2023-06-24,2023-07-04,10,469.76,4697.6,0.52,4.8,82,"Elevator, Air conditioning, Pool, Gym, TV",Yes
L0117,Host_030,Astoria,Queens,Entire home/apt,Entire home,2023-05-07,2023-05-10,3,232.96,698.88,0.5,3.9,99,"Elevator, Heating, Pool, Kitchen, Air conditioning, TV, WiFi",Yes
L0118,Host_030,Upper East Side,Manhattan,Shared room,Shared room,2023-01-12,2023-01-14,2,40.0,80.0,0.94,4.3,62,"Washer, WiFi, Gym, Air conditioning",No
L0119,Host_042,Flatbush,Brooklyn,Private room,Private room,2023-01-05,2023-01-19,14,81.0,1134.0,0.51,3.7,68,"Elevator, Washer, WiFi, Heating, Pool",No
L0120,Host_036,Jamaica,Queens,Entire home/apt,Entire home,2023-09-16,2023-09-24,8,341.76,2734.08,0.85,3.9,160,"Kitchen, Air conditioning, WiFi, Heating, Gym, TV, Washer",Yes
L0121,Host_033,Park Slope,Brooklyn,Entire home/apt,Entire home,2023-01-24,2023-01-25,1,325.0,325.0,0.52,4.0,122,"Gym, Air conditioning, TV, Elevator, Kitchen, Pool, Heating",No
L0122,Host_040,Park Slope,Brooklyn,Entire home/apt,Entire home,2023-09-17,2023-10-01,14,349.44,4892.16,0.72,4.2,145,"Gym, WiFi, Air conditioning, Elevator, Pool",Yes
L0123,Host_058,Flatbush,Brooklyn,Entire home/apt,Entire home,2023-12-02,2023-12-15,13,170.24,2213.12,0.96,4.4,59,"Gym, Air conditioning, TV",Yes
L0124,Host_025,Jamaica,Queens,Private room,Private room,2023-10-21,2023-11-02,12,97.28,1167.36,0.51,3.5,81,"Air conditioning, Elevator, Washer, Kitchen, Heating, TV",Yes
L0125,Host_034,Astoria,Queens,Private room,Private room,2023-12-06,2023-12-14,8,116.0,928.0,0.72,4.0,45,"Pool, Washer, TV, Air conditioning, Gym, Heating",No
L0126,Host_020,Harlem,Manhattan,Entire home/apt,Entire home,2023-05-28,2023-06-09,12,300.8,3609.6,0.56,4.6,82,"Washer, TV, Air conditioning, WiFi, Gym, Heating",Yes
L0127,Host_052,Bushwick,Brooklyn,Shared room,Shared room,2023-05-28,2023-06-09,12,33.28,399.36,0.49,4.9,168,"Gym, Heating, Kitchen, TV, Air conditioning",Yes
L0128,Host_040,Long Island City,Queens,Entire home/apt,Entire home,2023-12-09,2023-12-18,9,309.76,2787.84,0.57,3.8,26,"Washer, Gym, WiFi, Pool, Kitchen, Elevator",Yes
L0129,Host_060,Flushing,Queens,Entire home/apt,Entire home,2023-04-13,2023-04-26,13,363.0,4719.0,0.95,4.0,166,"Kitchen, Heating, TV",No
L0130,Host_012,Astoria,Queens,Private room,Private room,2023-01-19,2023-02-02,14,67.0,938.0,0.66,4.2,75,"WiFi, TV, Gym",No
L0131,Host_022,Astoria,Queens,Private room,Private room,2023-10-06,2023-10-15,9,131.84,1186.56,0.71,4.9,130,"TV, Heating, Elevator, WiFi, Air conditioning, Kitchen",Yes
L0132,Host_046,Jackson Heights,Queens,Private room,Private room,2023-06-22,2023-07-05,13,46.0,598.0,0.6,4.5,50,"Elevator, Pool, TV, Air conditioning",No
L0133,Host_012,Upper East Side,Manhattan,Private room,Private room,2023-05-08,2023-05-09,1,106.0,106.0,0.59,3.9,69,"TV, WiFi, Air conditioning, Washer, Elevator",No
L0134,Host_008,Flushing,Queens,Entire home/apt,Entire home,2023-07-27,2023-08-07,11,358.0,3938.0,0.71,4.8,80,"TV, Washer, Pool",No
L0135,Host_031,Harlem,Manhattan,Shared room,Shared room,2023-11-07,2023-11-13,6,48.0,288.0,0.67,4.3,121,"Heating, Pool, Washer, TV, WiFi, Gym, Air conditioning",No
L0136,Host_037,Long Island City,Queens,Entire home/apt,Entire home,2023-10-08,2023-10-17,9,226.56,2039.04,0.56,4.3,43,"Pool, Gym, WiFi, Washer, Kitchen",Yes
L0137,Host_058,Jamaica,Queens,Entire home/apt,Entire home,2023-03-09,2023-03-18,9,348.0,3132.0,0.67,4.3,144,"TV, WiFi, Heating, Air conditioning, Gym, Kitchen",No
L0138,Host_023,Astoria,Queens,Entire home/apt,Entire home,2023-02-05,2023-02-13,8,194.56,1556.48,0.47,4.1,35,"Washer, Elevator, Heating, Gym, Pool, WiFi",Yes
L0139,Host_056,Jamaica,Queens,Entire home/apt,Entire home,2023-10-03,2023-10-10,7,298.0,2086.0,0.72,4.6,58,"WiFi, TV, Heating",No
L0140,Host_025,Jamaica,Queens,Entire home/apt,Entire home,2023-06-27,2023-06-30,3,237.0,711.0,0.59,4.9,29,"Elevator, WiFi, Kitchen",No
L0141,Host_003,Midtown,Manhattan,Entire home/apt,Entire home,2023-01-23,2023-01-30,7,348.0,2436.0,0.68,4.3,15,"Pool, TV, Kitchen, Washer",No
L0142,Host_050,Long Island City,Queens,Private room,Private room,2023-03-15,2023-03-26,11,75.0,825.0,0.72,4.1,71,"Pool, Air conditioning, Washer",No
L0143,Host_004,Jackson Heights,Queens,Private room,Private room,2023-09-26,2023-10-02,6,93.0,558.0,0.81,4.1,77,"Air conditioning, Gym, Kitchen, Elevator, Pool, Washer",No
L0144,Host_027,Williamsburg,Brooklyn,Private room,Private room,2023-05-11,2023-05-15,4,94.0,376.0,0.62,3.6,116,"Kitchen, Heating, WiFi, Air conditioning, Gym",No
L0145,Host_056,Jamaica,Queens,Private room,Private room,2023-10-28,2023-11-09,12,88.32,1059.84,0.8,3.8,54,"TV, WiFi, Kitchen, Elevator, Gym",Yes
L0146,Host_045,Jackson Heights,Queens,Private room,Private room,2023-05-03,2023-05-12,9,95.0,855.0,0.62,3.9,120,"Washer, TV, Air conditioning, Elevator, Gym, Heating, Kitchen",No
L0147,Host_021,Upper East Side,Manhattan,Private room,Private room,2023-07-31,2023-08-01,1,92.0,92.0,0.74,3.8,38,"TV, Elevator, Air conditioning",No
